filename,clean_filename,hour,minute,second
10_42_31_00019_ana_dynamic_arctic_frost.png,10_42_31_00019_ana_clean_dynamic_arctic_frost.png,10,42,31
23_16_12_00020_ana_square_standard_classic.png,23_16_12_00020_ana_clean_square_standard_classic.png,23,16,12
19_53_17_00021_ana_square_neon_cyberpunk.png,19_53_17_00021_ana_clean_square_neon_cyberpunk.png,19,53,17
05_47_14_00022_ana_square_standard_classic.png,05_47_14_00022_ana_clean_square_standard_classic.png,5,47,14
23_15_17_00023_ana_square_arctic_frost.png,23_15_17_00023_ana_clean_square_arctic_frost.png,23,15,17
01_59_06_00024_ana_dynamic_arctic_frost.png,01_59_06_00024_ana_clean_dynamic_arctic_frost.png,1,59,6
10_51_15_00025_ana_square_industrial_alert.png,10_51_15_00025_ana_clean_square_industrial_alert.png,10,51,15
02_44_06_00026_ana_square_slate_teal.png,02_44_06_00026_ana_clean_square_slate_teal.png,2,44,6
00_58_56_00027_ana_square_royal_velvet.png,00_58_56_00027_ana_clean_square_royal_velvet.png,0,58,56
20_00_01_00028_ana_square_neon_cyberpunk.png,20_00_01_00028_ana_clean_square_neon_cyberpunk.png,20,0,1
22_09_25_00029_ana_dynamic_royal_velvet.png,22_09_25_00029_ana_clean_dynamic_royal_velvet.png,22,9,25
10_51_15_00030_ana_square_synthwave_sunset.png,10_51_15_00030_ana_clean_square_synthwave_sunset.png,10,51,15
16_05_36_00031_ana_square_neon_cyberpunk.png,16_05_36_00031_ana_clean_square_neon_cyberpunk.png,16,5,36
08_26_27_00032_ana_square_deep_forest.png,08_26_27_00032_ana_clean_square_deep_forest.png,8,26,27
00_58_56_00033_ana_square_desert_terracotta.png,00_58_56_00033_ana_clean_square_desert_terracotta.png,0,58,56
17_49_10_00034_ana_square_synthwave_sunset.png,17_49_10_00034_ana_clean_square_synthwave_sunset.png,17,49,10
13_28_33_00035_ana_square_neon_cyberpunk.png,13_28_33_00035_ana_clean_square_neon_cyberpunk.png,13,28,33
07_16_37_00036_ana_square_synthwave_sunset.png,07_16_37_00036_ana_clean_square_synthwave_sunset.png,7,16,37
07_50_23_00037_ana_dynamic_pastel_dream.png,07_50_23_00037_ana_clean_dynamic_pastel_dream.png,7,50,23
22_33_35_00038_ana_dynamic_royal_velvet.png,22_33_35_00038_ana_clean_dynamic_royal_velvet.png,22,33,35
23_28_06_00039_ana_dynamic_deep_forest.png,23_28_06_00039_ana_clean_dynamic_deep_forest.png,23,28,6
06_16_06_00040_ana_square_deep_forest.png,06_16_06_00040_ana_clean_square_deep_forest.png,6,16,6
08_26_27_00041_ana_square_crimson_shadow.png,08_26_27_00041_ana_clean_square_crimson_shadow.png,8,26,27
07_43_29_00042_ana_dynamic_arctic_frost.png,07_43_29_00042_ana_clean_dynamic_arctic_frost.png,7,43,29
02_44_06_00043_ana_square_royal_velvet.png,02_44_06_00043_ana_clean_square_royal_velvet.png,2,44,6
03_24_32_00044_ana_dynamic_pastel_dream.png,03_24_32_00044_ana_clean_dynamic_pastel_dream.png,3,24,32
08_34_26_00045_ana_dynamic_pastel_dream.png,08_34_26_00045_ana_clean_dynamic_pastel_dream.png,8,34,26
12_41_17_00046_ana_square_industrial_alert.png,12_41_17_00046_ana_clean_square_industrial_alert.png,12,41,17
13_16_28_00047_ana_square_crimson_shadow.png,13_16_28_00047_ana_clean_square_crimson_shadow.png,13,16,28
14_17_04_00048_ana_dynamic_synthwave_sunset.png,14_17_04_00048_ana_clean_dynamic_synthwave_sunset.png,14,17,4
14_07_54_00049_ana_square_royal_velvet.png,14_07_54_00049_ana_clean_square_royal_velvet.png,14,7,54
